"year","name","rating"
2014,"Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2)",4.9
2014,"StrengthsFinder 2.0",4.0
2014,"The 5 Love Languages: The Secret to Love That Lasts",4.7
2014,"The Alchemist",4.7
2014,"The Book Thief",4.6
2014,"The Book with No Pictures",4.8
2014,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",4.8
2014,"The Day the Crayons Quit",4.8
2014,"The Fault in Our Stars",4.7
2014,"The Fault in Our Stars",4.7
2014,"The Goldfinch: A Novel (Pulitzer Prize for Fiction)",3.9
2014,"The Great Gatsby",4.4
2014,"The Maze Runner (Book 1)",4.5
2014,"The Official SAT Study Guide",4.4
2014,"The Very Hungry Caterpillar",4.9
2014,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",4.6
2014,"To Kill a Mockingbird",4.8
2014,"Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers",4.5
2014,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8
2014,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8
2014,"What If?: Serious Scientific Answers to Absurd Hypothetical Questions",4.7
2014,"Wonder",4.8
2015,"What Pet Should I Get? (Classic Seuss)",4.7
2015,"Creative Haven Creative Cats Coloring Book (Adult Coloring)",4.8
2015,"Creative Haven Owls Coloring Book (Adult Coloring)",4.8
2015,"Dear Zoo: A Lift-the-Flap Book",4.8
2015,"Go Set a Watchman: A Novel",3.6
2015,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",4.8
2015,"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)",4.6
2015,"Adult Coloring Book: Stress Relieving Patterns",4.4
2015,"Giraffes Can't Dance",4.8
2015,"The 5 Love Languages: The Secret to Love that Lasts",4.8
2015,"The Nightingale: A Novel",4.8
2015,"The Martian",4.7
2015,"First 100 Words",4.7
2015,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",4.7
2015,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing",4.5
2015,"Old School (Diary of a Wimpy Kid #10)",4.8
2015,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",4.5
2015,"Laugh-Out-Loud Jokes for Kids",4.6
2015,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",4.7
2015,"Publication Manual of the American Psychological Association, 6th Edition",4.5
2015,"StrengthsFinder 2.0",4.0
2015,"All the Light We Cannot See",4.6
2015,"Knock-Knock Jokes for Kids",4.5
2015,"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History",4.6
2015,"Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)",4.6
2015,"Baby Touch and Feel: Animals",4.6
2015,"The Book with No Pictures",4.8
2015,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",4.8
2015,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)",4.9
2015,"To Kill a Mockingbird",4.8
2015,"Balance (Angie's Extreme Stress Menders)",4.6
