name,year,price,rating
Capital in the Twenty First Century,2014,28,4.5
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",2014,105,4.5
Diary of a Wimpy Kid: The Long Haul,2014,22,4.8
Divergent,2014,15,4.6
Divergent / Insurgent,2014,6,4.5
First 100 Words,2014,4,4.7
Frozen (Little Golden Book),2014,0,4.7
Gone Girl,2014,9,4
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",2014,10,4.6
How to Win Friends & Influence People,2014,11,4.7
Humans of New York,2014,15,4.8
If I Stay,2014,9,4.3
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2014,8,4.9
JOURNEY TO THE ICE P,2014,0,4.6
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),2014,6,4.6
Knock-Knock Jokes for Kids,2014,4,4.5
Laugh-Out-Loud Jokes for Kids,2014,4,4.6
Little Blue Truck,2014,0,4.9
Looking for Alaska,2014,7,4.5
Love You Forever,2014,5,4.8
Make It Ahead: A Barefoot Contessa Cookbook,2014,20,4.5
Mindset: The New Psychology of Success,2014,10,4.6
"Oh, the Places You'll Go!",2014,8,4.9
Orphan Train,2014,11,4.6
"Publication Manual of the American Psychological Association, 6th Edition",2014,46,4.5
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),2014,12,4.9
StrengthsFinder 2.0,2014,17,4
The 5 Love Languages: The Secret to Love That Lasts,2014,28,4.7
The Alchemist,2014,39,4.7
The Book Thief,2014,6,4.6
The Book with No Pictures,2014,8,4.8
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2014,12,4.8
The Day the Crayons Quit,2014,9,4.8
The Fault in Our Stars,2014,7,4.7
The Fault in Our Stars,2014,13,4.7
The Goldfinch: A Novel (Pulitzer Prize for Fiction),2014,20,3.9
The Great Gatsby,2014,7,4.4
The Maze Runner (Book 1),2014,8,4.5
The Official SAT Study Guide,2014,40,4.4
The Very Hungry Caterpillar,2014,5,4.9
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2014,23,4.6
To Kill a Mockingbird,2014,0,4.8
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,2014,5,4.5
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2014,13,4.8
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2014,16,4.8
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,2014,17,4.7
Wonder,2014,9,4.8
What Pet Should I Get? (Classic Seuss),2015,14,4.7
Creative Haven Creative Cats Coloring Book (Adult Coloring),2015,4,4.8
Creative Haven Owls Coloring Book (Adult Coloring),2015,5,4.8
Dear Zoo: A Lift-the-Flap Book,2015,5,4.8
Go Set a Watchman: A Novel,2015,19,3.6
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",2015,14,4.8
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),2015,5,4.6
Adult Coloring Book: Stress Relieving Patterns,2015,6,4.4
Giraffes Can't Dance,2015,4,4.8
The 5 Love Languages: The Secret to Love that Lasts,2015,8,4.8
The Nightingale: A Novel,2015,11,4.8
The Martian,2015,9,4.7
First 100 Words,2015,4,4.7
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",2015,9,4.7
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2015,11,4.5
Old School (Diary of a Wimpy Kid #10),2015,7,4.8
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",2015,8,4.5
Laugh-Out-Loud Jokes for Kids,2015,4,4.6
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,2015,16,4.7
"Publication Manual of the American Psychological Association, 6th Edition",2015,46,4.5
StrengthsFinder 2.0,2015,17,4
All the Light We Cannot See,2015,14,4.6
Knock-Knock Jokes for Kids,2015,4,4.5
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,2015,9,4.6
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),2015,5,4.6
Baby Touch and Feel: Animals,2015,5,4.6
The Book with No Pictures,2015,8,4.8
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2015,12,4.8
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2015,8,4.9
To Kill a Mockingbird,2015,0,4.8
Balance (Angie's Extreme Stress Menders),2015,11,4.6
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",2015,9,4.7
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2015,23,4.6
Being Mortal: Medicine and What Matters in the End,2015,15,4.8
The Day the Crayons Quit,2015,9,4.8
Between the World and Me,2015,13,4.7
Humans of New York : Stories,2015,17,4.9
The Wright Brothers,2015,16,4.7
Mindset: The New Psychology of Success,2015,10,4.6
How to Win Friends & Influence People,2015,11,4.7
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),2015,14,4.4
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2015,6,4.7
The Whole30: The 30-Day Guide to Total Health and Food Freedom,2015,16,4.6
The Girl on the Train,2015,18,4.1
Harry Potter Coloring Book,2015,9,4.7
The Very Hungry Caterpillar,2015,5,4.9
"Oh, the Places You'll Go!",2015,8,4.9
Wonder,2015,9,4.8
Adult Coloring Book: Stress Relieving Animal Designs,2015,6,4.6
Love You Forever,2015,5,4.8
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,2016,16,4.7
To Kill a Mockingbird,2016,0,4.8
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),2016,6,4.7
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",2016,4,4.5
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",2016,9,4.7
Dear Zoo: A Lift-the-Flap Book,2016,5,4.8
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",2016,12,4
The Very Hungry Caterpillar,2016,5,4.9
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",2016,36,4.3
Double Down (Diary of a Wimpy Kid #11),2016,20,4.8
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),2016,23,4.6
The Nightingale: A Novel,2016,11,4.8
"Oh, the Places You'll Go!",2016,8,4.9
Giraffes Can't Dance,2016,4,4.8
The Constitution of the United States,2016,0,4.8
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),2016,4,4.6
Wonder,2016,9,4.8
The Girl on the Train,2016,7,4.1
The 5 Love Languages: The Secret to Love that Lasts,2016,8,4.8
First 100 Words,2016,4,4.7
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2016,14,4.4
The Magnolia Story,2016,5,4.9
Harry Potter Paperback Box Set (Books 1-7),2016,52,4.8
"Publication Manual of the American Psychological Association, 6th Edition",2016,46,4.5
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,2016,11,4.5
Between the World and Me,2016,13,4.7
Fahrenheit 451,2016,8,4.6
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),2016,15,4.7
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,2016,8,4.7
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",2016,30,4.9
Alexander Hamilton,2016,13,4.8
Night (Night),2016,9,4.7
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,2016,9,4.7
Laugh-Out-Loud Jokes for Kids,2016,4,4.6
Born to Run,2016,18,4.7
Mindset: The New Psychology of Success,2016,10,4.6
